x_ITM,y_ITM,x_MODIS,y_MODIS,satellite,square,year,doy,evi,ndvi,QC,date
713447.7788288337,752172.7842279637,-415938.9912629372,5949746.077470374,Aqua,1,2018,264,0.72,0.8382000000000001,0,2018-09-21T00:00:00Z
713680.1256474009,752178.3673253722,-415707.3349046732,5949746.077470374,Aqua,1,2018,264,0.6339,0.81,0,2018-09-21T00:00:00Z
713912.4723417796,752183.9618503944,-415475.6785464093,5949746.077470374,Aqua,1,2018,264,0.6023000000000001,0.7847000000000001,0,2018-09-21T00:00:00Z
717862.3468986218,752280.8172237242,-411537.520455922,5949746.077470374,Aqua,1,2018,264,0.39740000000000003,0.6803,0,2018-09-21T00:00:00Z
718094.6913140598,752286.6174498757,-411305.864097658,5949746.077470374,Aqua,1,2018,264,0.5041,0.7393000000000001,0,2018-09-21T00:00:00Z
712584.5897258719,761893.1297091435,-415707.3349046732,5959475.64451746,Aqua,1,2018,279,0.3254,0.6695,1,2018-10-06T00:00:00Z
712816.93772006,761898.6880863649,-415475.6785464093,5959475.64451746,Aqua,1,2018,279,0.43870000000000003,0.7542,1,2018-10-06T00:00:00Z
713746.3284443012,761921.0362368652,-414549.05311335344,5959475.64451746,Aqua,1,2018,279,0.3479,0.6431,1,2018-10-06T00:00:00Z
714443.3701651143,761937.9177240946,-413854.08403856156,5959475.64451746,Aqua,1,2018,279,0.4112,0.7188,0,2018-10-06T00:00:00Z
714675.7171521285,761943.5678150788,-413622.42768029764,5959475.64451746,Aqua,1,2018,279,0.5503,0.7992,0,2018-10-06T00:00:00Z
714908.0640120837,761949.2293703896,-413390.77132203366,5959475.64451746,Aqua,1,2018,279,0.5503,0.7992,0,2018-10-06T00:00:00Z
715140.4107447215,761954.9023900509,-413159.1149637697,5959475.64451746,Aqua,1,2018,279,0.5671,0.7898000000000001,0,2018-10-06T00:00:00Z
715372.7573497838,761960.5868740868,-412927.45860550576,5959475.64451746,Aqua,1,2018,279,0.5671,0.7898000000000001,0,2018-10-06T00:00:00Z
715605.1038270125,761966.2828225208,-412695.8022472418,5959475.64451746,Aqua,1,2018,279,0.4462,0.7093,0,2018-10-06T00:00:00Z
715837.4501761488,761971.990235377,-412464.1458889778,5959475.64451746,Aqua,1,2018,279,0.4462,0.7093,0,2018-10-06T00:00:00Z
717231.5255665676,762006.4754667279,-411074.20773939404,5959475.64451746,Aqua,1,2018,279,0.4323,0.7071000000000001,0,2018-10-06T00:00:00Z
718393.2514886908,762035.5284355578,-409915.92594807426,5959475.64451746,Aqua,1,2018,279,0.403,0.7098,0,2018-10-06T00:00:00Z
718625.5962805726,762041.3734233658,-409684.2695898103,5959475.64451746,Aqua,1,2018,279,0.49920000000000003,0.762,0,2018-10-06T00:00:00Z
718857.9409410037,762047.2298759116,-409452.61323154636,5959475.64451746,Aqua,1,2018,279,0.4951,0.762,0,2018-10-06T00:00:00Z
719554.9741310108,762064.8680222224,-408757.6441567545,5959475.64451746,Aqua,1,2018,279,0.5171,0.7632,0,2018-10-06T00:00:00Z
719787.3182630563,762070.7703339664,-408525.9877984905,5959475.64451746,Aqua,1,2018,279,0.5171,0.7632,0,2018-10-06T00:00:00Z
720019.6622623594,762076.6841105716,-408294.3314402266,5959475.64451746,Aqua,1,2018,279,0.4449,0.7393000000000001,0,2018-10-06T00:00:00Z
712610.6883988866,761661.823303852,-415707.3349046732,5959243.988159196,Aqua,1,2018,279,0.1697,0.6537000000000001,1,2018-10-06T00:00:00Z
712843.0363620415,761667.3825455972,-415475.6785464093,5959243.988159196,Aqua,1,2018,279,0.43870000000000003,0.7542,1,2018-10-06T00:00:00Z
713307.7319131533,761678.5354189127,-415012.36582988134,5959243.988159196,Aqua,1,2018,279,0.4852,0.7265,1,2018-10-06T00:00:00Z
713540.0795005937,761684.1290505298,-414780.7094716174,5959243.988159196,Aqua,1,2018,279,0.4852,0.7265,1,2018-10-06T00:00:00Z
714469.4685902286,761706.6182106107,-413854.08403856156,5959243.988159196,Aqua,1,2018,279,0.4776,0.7399,0,2018-10-06T00:00:00Z
714701.8155463147,761712.2691591522,-413622.42768029764,5959243.988159196,Aqua,1,2018,279,0.5503,0.7992,0,2018-10-06T00:00:00Z
714934.1623753554,761717.9315711496,-413390.77132203366,5959243.988159196,Aqua,1,2018,279,0.6067,0.8307,0,2018-10-06T00:00:00Z
715166.5090770924,761723.6054466267,-413159.1149637697,5959243.988159196,Aqua,1,2018,279,0.5352,0.7712,0,2018-10-06T00:00:00Z
715398.8556512676,761729.2907856074,-412927.45860550576,5959243.988159196,Aqua,1,2018,279,0.5352,0.7712,0,2018-10-06T00:00:00Z
719581.0718789633,761833.5871738552,-408757.6441567545,5959243.988159196,Aqua,1,2018,279,0.3431,0.6348,0,2018-10-06T00:00:00Z
719813.415980398,761839.4903240002,-408525.9877984905,5959243.988159196,Aqua,1,2018,279,0.3431,0.6348,0,2018-10-06T00:00:00Z
721904.5068895967,761893.1345578835,-406441.08057411487,5959243.988159196,Aqua,1,2018,279,0.3978,0.714,1,2018-10-06T00:00:00Z
714727.9132344314,761480.9706257492,-413622.42768029764,5959012.331800932,Aqua,1,2018,279,0.6248,0.8307,0,2018-10-06T00:00:00Z
714960.260032562,761486.6338942451,-413390.77132203366,5959012.331800932,Aqua,1,2018,279,0.6248,0.8307,0,2018-10-06T00:00:00Z
715192.6067034024,761492.3086253501,-413159.1149637697,5959012.331800932,Aqua,1,2018,266,0.7203,0.8543000000000001,0,2018-09-23T00:00:00Z
715424.9532466945,761497.994819088,-412927.45860550576,5959012.331800932,Aqua,1,2018,266,0.5697,0.7612,0,2018-09-23T00:00:00Z
717283.7209703239,761543.8970266542,-411074.20773939404,5959012.331800932,Aqua,1,2018,279,0.4698,0.7239,0,2018-10-06T00:00:00Z
