Plant_ID;Variety;Treatment;Chamber;Biomass1;Biomass2;Height;Phyllochron12;Phyllochron13;Phyllochron14;Phyllochron23;Phyllochron24;Phyllochron34;Phyllochron1S;Type
218;Aspect;eCO2W;7;0,0560;1,146;30,6;12;18;27;6;15;9;41;Cultivar
219;Semi-natural6;eCO2W;7;0,3470;7,637;24,2;9;15;27;6;18;12;48;Semi
220;Semi-natural7;eCO2W;7;0,1150;2,518;32,1;9;18;21;9;12;3;48;Semi
221;Semi-natural11;eCO2W;7;0,0230;1,114;24,1;8;14;17;6;9;3;38;Semi
222;Wild4;eCO2W;7;0,1540;4,096;31,1;9;15;27;6;18;12;41;Wild
223;Wild6;eCO2W;7;0,3570;9,274;38;8;13;28;5;20;15;42;Wild
224;Wild7;eCO2W;7;0,1710;1,588;18,5;8;17;26;9;18;9;40;Wild
225;Moy;eCO2W;7;0,2190;2,751;27,7;8;14;26;6;18;12;36;Cultivar
226;Lilora;eCO2W;7;0,2290;5,444;41;10;13;28;3;18;15;49;Cultivar
227;Solomon;eCO2W;7;0,1210;3,456;42,2;9;15;27;6;18;12;48;Cultivar
228;Carraig;eCO2W;7;0,1290;2,517;34,2;12;21;27;9;15;6;48;Cultivar
229;Dunluce;eCO2W;7;0,0760;1,477;53,5;7;16;19;9;12;3;33;Cultivar
230;Aberchoice;eCO2W;7;0,1510;2,983;38,1;13;19;28;6;15;9;42;Cultivar
231;Abergain;eCO2W;7;0,0940;1,725;38,9;10;16;28;6;18;12;39;Cultivar
232;Aspect;eCO2W;7;0,1460;2,265;36,6;13;19;31;6;18;12;45;Cultivar
233;Semi-natural6;eCO2W;7;0,3430;7,498;34,7;8;13;19;5;11;6;38;Semi
234;Semi-natural7;eCO2W;7;0,0100;0,012;19,1;9;15;18;6;9;3;28;Semi
235;Semi-natural11;eCO2W;7;0,0000;0,231;33,1;5;8;15;3;10;7;-43842;Semi
236;Wild4;eCO2W;7;0,0860;1,125;28,4;10;16;28;6;18;12;-43825;Wild
237;Wild6;eCO2W;7;0,0250;0,153;22,4;9;18;24;9;15;6;35;Wild
238;Wild7;eCO2W;7;0,0610;1,989;30,2;8;14;26;6;18;12;44;Wild
239;Moy;eCO2W;7;0,0000;0,004;34,2;9;16;27;7;18;11;-43844;Cultivar
240;Lilora;eCO2W;7;0,1790;1,886;34,4;10;16;31;6;21;15;49;Cultivar
241;Solomon;eCO2W;7;0,4210;6,191;36,2;8;13;19;5;11;6;45;Cultivar
242;Carraig;eCO2W;7;0,5060;8,77;35,6;8;13;19;5;11;6;45;Cultivar
243;Dunluce;eCO2W;7;0,1420;3,46;48,2;10;16;25;6;15;9;46;Cultivar
244;Aberchoice;eCO2W;7;0,1554;3,39;48,7;11;17;26;6;15;9;36;Cultivar
